Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-08-10 15:13:18.604 -0700,"Running",0:00:00,0,0,0,"20170810_151318.604/LogFile.txt","","",0
2017-08-10 15:13:53.892 -0700,"Success",0:00:04,0,0,0,"20170810_151353.892/LogFile.txt","","",1
2017-08-10 15:14:52.065 -0700,"Success",0:00:04,0,0,0,"20170810_151452.065/LogFile.txt","","",1
2017-08-10 15:16:07.146 -0700,"Success",0:00:05,0,0,0,"20170810_151607.146/LogFile.txt","","",1
2017-08-10 15:17:04.309 -0700,"Success",0:00:05,0,0,0,"20170810_151704.309/LogFile.txt","","",1
2017-08-10 15:17:35.713 -0700,"Running",0:00:00,0,0,0,"20170810_151735.713/LogFile.txt","","",0
2017-08-10 15:18:08.633 -0700,"Success",0:00:05,0,0,0,"20170810_151808.633/LogFile.txt","","",1
2017-08-10 15:20:24.445 -0700,"Success",0:00:07,0,0,0,"20170810_152024.445/LogFile.txt","","",1
2017-08-10 15:20:54.023 -0700,"Success",0:00:10,0,0,0,"20170810_152054.023/LogFile.txt","","",1
